sg_uf_municipio_uorg;no_municipio_uorg;qtd_servidores_ativos
AC;ACRELANDIA;2
AC;ASSIS BRASIL;4
AC;BRASILEIA;17
AC;CRUZEIRO DO SUL;348
AC;EPITACIOLANDIA;36
AC;FEIJO;3
AC;RIO BRANCO;2.395
AC;SANTA ROSA DO PURUS;1
AC;SENA MADUREIRA;80
AC;TARAUACA;71
AC;XAPURI;86
AL;ARAPIRACA;2.191
AL;ATALAIA;2
AL;BATALHA;43
AL;BOCA DA MATA;2
AL;CACIMBINHAS;2
AL;CAJUEIRO;1
AL;CAMPO ALEGRE;3
AL;CORURIPE;59
AL;CRAIBAS;2
AL;DELMIRO GOUVEIA;104
AL;FEIRA GRANDE;1
AL;GIRAU DO PONCIANO;2
AL;IGACI;2
AL;IGREJA NOVA;1
AL;JEQUIA DA PRAIA;3
AL;JUNQUEIRO;4
AL;LIMOEIRO DE ANADIA;2
AL;MACEIO;2.976
AL;MARAGOGI;75
AL;MARECHAL DEODORO;118
AL;MARIBONDO;3
AL;MATRIZ DE CAMARAGIBE;1
AL;MURICI;80
AL;OURO BRANCO;1
AL;PALMEIRA DOS INDIOS;219
AL;PAO DE ACUCAR;2
AL;PARICONHA;1
AL;PASSO DE CAMARAGIBE;1
AL;PENEDO;83
AL;PIACABUCU;1
AL;PILAR;2
AL;PIRANHAS;94
AL;PORTO CALVO;4
AL;PORTO REAL DO COLEGIO;7
AL;RIO LARGO;79
AL;SANTANA DO IPANEMA;72
AL;SAO JOSE DA LAJE;2
AL;SAO JOSE DA TAPERA;3
AL;SAO MIGUEL DOS CAMPOS;93
AL;SAO SEBASTIAO;2
AL;SATUBA;163
AL;TEOTONIO VILELA;2
AL;TRAIPU;2
AL;UNIAO DOS PALMARES;5
AL;VICOSA;46
AM;ALVARAES;8
AM;APUI;3
AM;ATALAIA DO NORTE;7
AM;AUTAZES;4
AM;BARCELOS;1
AM;BENJAMIN CONSTANT;101
AM;BOCA DO ACRE;9
AM;BORBA;1
AM;CANUTAMA;1
AM;CARAUARI;1
AM;CAREIRO;1
AM;COARI;207
AM;EIRUNEPE;54
AM;HUMAITA;198
AM;IRANDUBA;35
AM;ITACOATIARA;214
AM;JUTAI;1
AM;LABREA;92
AM;MANACAPURU;58
AM;MANAUS;6.168
AM;MANICORE;4
AM;MAUES;66
AM;NOVA OLINDA DO NORTE;2
AM;NOVO AIRAO;7
AM;PARINTINS;231
AM;PRESIDENTE FIGUEIREDO;86
AM;RIO PRETO DA EVA;3
AM;SANTO ANTONIO DO ICA;3
AM;SAO GABRIEL DA CACHOEIRA;116
AM;SAO PAULO DE OLIVENCA;9
AM;TABATINGA;147
AM;TAPAUA;4
AM;TEFE;79
AP;AMAPA;9
AP;CUTIAS;3
AP;LARANJAL DO JARI;81
AP;MACAPA;11.294
AP;MAZAGAO;2
AP;OIAPOQUE;114
AP;PORTO GRANDE;89
AP;SANTANA;146
BA;ABARE;12
BA;ALAGOINHAS;37
BA;AMARGOSA;178
BA;AMELIA RODRIGUES;6
BA;ANAGE;4
BA;BAIXA GRANDE;2
BA;BARRA;42
BA;BARRA DA ESTIVA;1
BA;BARRA DO CHOCA;3
BA;BARREIRAS;753
BA;BELMONTE;2
BA;BOM JESUS DA LAPA;94
BA;BOQUIRA;6
BA;BRUMADO;101
BA;CACHOEIRA;165
BA;CACULE;2
BA;CAETITE;10
BA;CAMACAN;2
BA;CAMACARI;171
BA;CAMAMU;2
BA;CAMPO ALEGRE DE LOURDES;3
BA;CAMPO FORMOSO;3
BA;CANAVIEIRAS;3
BA;CANDIDO SALES;2
BA;CANSANCAO;3
BA;CAPIM GROSSO;2
BA;CARAVELAS;4
BA;CARINHANHA;2
BA;CASTRO ALVES;3
BA;CATU;163
BA;CICERO DANTAS;3
BA;COARACI;1
BA;CONCEICAO DO COITE;8
BA;CONDEUBA;1
BA;CORACAO DE MARIA;1
BA;CORIBE;3
BA;CRUZ DAS ALMAS;812
BA;CURACA;1
BA;DIAS D'AVILA;4
BA;ENCRUZILHADA;1
BA;ESPLANADA;3
BA;EUCLIDES DA CUNHA;91
BA;EUNAPOLIS;235
BA;FEIRA DE SANTANA;636
BA;FORMOSA DO RIO PRETO;3
BA;GANDU;3
BA;GOVERNADOR MANGABEIRA;105
BA;GUANAMBI;224
BA;IACU;2
BA;IBICARAI;2
BA;IBIRAPITANGA;2
BA;IBIRATAIA;2
BA;IBOTIRAMA;7
BA;ICHU;2
BA;IGUAI;3
BA;ILHEUS;458
BA;IPIAU;6
BA;IPIRA;6
BA;IRAQUARA;2
BA;IRARA;5
BA;IRECE;128
BA;ITABELA;3
BA;ITABERABA;78
BA;ITABUNA;324
BA;ITAETE;1
BA;ITAMARAJU;12
BA;ITAMBE;3
BA;ITANHEM;2
BA;ITAPETINGA;123
BA;ITIRUCU;3
BA;ITIUBA;2
BA;ITORORO;2
BA;ITUBERA;3
BA;JACOBINA;116
BA;JAGUAQUARA;7
BA;JAGUARARI;2
BA;JEQUIE;101
BA;JEREMOABO;1
BA;JOAO DOURADO;3
BA;JUAZEIRO;402
BA;LAURO DE FREITAS;86
BA;LENCOIS;4
BA;LIVRAMENTO DE NOSSA SENHORA;13
BA;LUIS EDUARDO MAGALHAES;29
BA;MARACAS;2
BA;MARAGOGIPE;5
BA;MATA DE SAO JOAO;2
BA;MEDEIROS NETO;1
BA;MIGUEL CALMON;6
BA;MONTE SANTO;1
BA;MORRO DO CHAPEU;8
BA;MUCURI;2
BA;MUNDO NOVO;2
BA;MURITIBA;4
BA;MUTUIPE;4
BA;NAZARE;6
BA;NOVA VICOSA;1
BA;OLINDINA;2
BA;OLIVEIRA DOS BREJINHOS;3
BA;PALMAS DE MONTE ALTO;2
BA;PALMEIRAS;4
BA;PARAMIRIM;4
BA;PARATINGA;2
BA;PARIPIRANGA;4
BA;PAULO AFONSO;187
BA;PIATA;2
BA;PILAO ARCADO;2
BA;PIRITIBA;2
BA;PLANALTO;2
BA;POCOES;8
BA;POJUCA;1
BA;PORTO SEGURO;362
BA;PRADO;12
BA;PRESIDENTE TANCREDO NEVES;1
BA;QUEIMADAS;3
BA;QUIJINGUE;2
BA;REMANSO;6
BA;RIACHAO DAS NEVES;2
BA;RIACHAO DO JACUIPE;6
BA;RIACHO DE SANTANA;3
